id_,name,symbol,country,tag,pair_type,exchange
6672,British Land Company PLC,BLND,united kingdom,/equities/british-land,stocks,London
6576,3I Group PLC,III,united kingdom,/equities/3i,stocks,London
6583,Abrdn PLC,ABDN,united kingdom,/equities/standard-life,stocks,London
6658,Admiral Group PLC,ADML,united kingdom,/equities/admiral-group,stocks,London
6603,Anglo American PLC,AAL,united kingdom,/equities/anglo-american,stocks,London
6633,Antofagasta PLC,ANTO,united kingdom,/equities/antofagasta,stocks,London
6836,Ashtead Group PLC,AHT,united kingdom,/equities/ashtead-group,stocks,London
6625,Associated British Foods PLC,ABF,united kingdom,/equities/assoc.br.foods,stocks,London
6565,AstraZeneca PLC,AZN,united kingdom,/equities/astrazeneca,stocks,London
948335,Auto Trader Group Plc,AUTOA,united kingdom,/equities/auto-trader-group-plc,stocks,London
1075230,Avast PLC,AVST,united kingdom,/equities/avast-holdings,stocks,London
6821,AVEVA Group PLC,AVV,united kingdom,/equities/aveva-group,stocks,London
6615,Aviva PLC,AV,united kingdom,/equities/aviva,stocks,London
949036,B&M European Value Retail SA,BMEB,united kingdom,/equities/b-m-european-value-retail-sa,stocks,London
6632,BAE Systems PLC,BAES,united kingdom,/equities/bae-systems,stocks,London
282,Barclays PLC,BARC,united kingdom,/equities/barclays,stocks,London
6613,Barratt Developments PLC,BDEV,united kingdom,/equities/barratt-developments,stocks,London
13127,Berkeley Group Holdings PLC,BKGH,united kingdom,/equities/berkeley-group-holdings-plc,stocks,London
6617,BHP Group PLC,BHPB,united kingdom,/equities/bhp-billiton,stocks,London
284,BP PLC,BP,united kingdom,/equities/bp,stocks,London
279,British American Tobacco PLC,BATS,united kingdom,/equities/british-american-tobacco,stocks,London
6719,BT Group PLC,BT,united kingdom,/equities/bt-group,stocks,London
6610,Bunzl PLC,BNZL,united kingdom,/equities/bunzl,stocks,London
6611,Burberry Group PLC,BRBY,united kingdom,/equities/burberry,stocks,London
42596,Coca Cola HBC AG,CCH,united kingdom,/equities/cocacola-hb,stocks,London
6738,Compass Group PLC,CPG,united kingdom,/equities/compass-group,stocks,London
6664,CRH PLC,CRH,united kingdom,/equities/crh,stocks,London
6710,Croda International PLC,CRDA,united kingdom,/equities/croda,stocks,London
23449,DCC plc,DCC,united kingdom,/equities/dcc-plc-exch,stocks,London
6584,Diageo PLC,DGE,united kingdom,/equities/diageo,stocks,London
28449,Entain PLC,ENT,united kingdom,/equities/gvc-holdings-plc,stocks,London
14617,EVRAZ plc,EVRE,united kingdom,/equities/evraz,stocks,London
13120,Experian PLC,EXPN,united kingdom,/equities/experian-ord-usd0,stocks,London
6562,Ferguson Plc,FERG,united kingdom,/equities/wolseley,stocks,London
6858,Flutter Entertainment PLC,FLTRF,united kingdom,/equities/paddy-power,stocks,London
10522,Fresnillo PLC,FRES,united kingdom,/equities/fresnillo,stocks,London
6612,GlaxoSmithKline PLC,GSK,united kingdom,/equities/glaxosmithkline,stocks,London
13811,Glencore PLC,GLEN,united kingdom,/equities/glencore,stocks,London
6768,Halma PLC,HLMA,united kingdom,/equities/halma,stocks,London
6580,Hargreaves Lansdown PLC,HRGV,united kingdom,/equities/hargreaves,stocks,London
6589,Hikma Pharmaceuticals PLC,HIK,united kingdom,/equities/hikma-pharmaceuticals,stocks,London
280,HSBC Holdings PLC,HSBA,united kingdom,/equities/hsbc-holdings,stocks,London
283,InterContinental Hotels Group PLC,IHG,united kingdom,/equities/intercontinental-hotels-group,stocks,London
6569,Imperial Brands PLC,IMB,united kingdom,/equities/imperial-tobacco,stocks,London
6673,Informa PLC,INF,united kingdom,/equities/informa,stocks,London
6741,Intermediate Capital Group PLC,ICP,united kingdom,/equities/intermediate-capital-group,stocks,London
13812,International Consolidated Airlines Group S.A.,ICAG,united kingdom,/equities/intl.-cons.-air-grp,stocks,London
6696,Intertek Group PLC,ITRK,united kingdom,/equities/intertek-testing-services,stocks,London
6735,ITV PLC,ITV,united kingdom,/equities/itv,stocks,London
14051,JD Sports Fashion PLC,JD,united kingdom,/equities/jd-sports-fashion,stocks,London
6598,Johnson Matthey PLC,JMAT,united kingdom,/equities/johnson-matthey,stocks,London
1156715,Just Eat Takeaway,JETJ,united kingdom,/equities/takeaway-com-holding-bv?cid=1156715,stocks,London
6571,Kingfisher PLC,KGF,united kingdom,/equities/kingfisher,stocks,London
6755,Land Securities Group PLC,LAND,united kingdom,/equities/land-securities,stocks,London
6568,Legal & General Group PLC,LGEN,united kingdom,/equities/legal---general,stocks,London
287,Lloyds Banking Group PLC,LLOY,united kingdom,/equities/lloyds-banking-grp,stocks,London
6628,London Stock Exchange Group PLC,LSEG,united kingdom,/equities/london-stock-exchange,stocks,London
6636,Man Group PLC,EMG,united kingdom,/equities/man-group,stocks,London
6692,Melrose Industries PLC,MRON,united kingdom,/equities/melrose,stocks,London
6702,Mondi PLC,MNDI,united kingdom,/equities/mond,stocks,London
6712,National Grid PLC,NG,united kingdom,/equities/national-grid,stocks,London
295,NatWest Group PLC,NWG,united kingdom,/equities/royal-bank-of-scotland,stocks,London
286,Next PLC,NXT,united kingdom,/equities/next,stocks,London
13165,Ocado Group PLC,OCDO,united kingdom,/equities/ocado-group,stocks,London
6620,Pearson PLC,PSON,united kingdom,/equities/pearson,stocks,London
1009358,Pershing Square Holdings Ltd,PSHP,united kingdom,/equities/pershing?cid=1009358,stocks,London
6656,Persimmon PLC,PSN,united kingdom,/equities/persimmon,stocks,London
14066,Phoenix Group Holdings PLC,PHNX,united kingdom,/equities/phoenix-group-holdings,stocks,London
14618,Polymetal International PLC,POLYP,united kingdom,/equities/polymetal,stocks,London
296,Prudential PLC,PRU,united kingdom,/equities/prudential,stocks,London
6570,Reckitt Benckiser Group PLC,RKT,united kingdom,/equities/reckitt-benckiser,stocks,London
6572,Relx PLC,REL,united kingdom,/equities/reed-elsevier,stocks,London
6736,Rentokil Initial PLC,RTO,united kingdom,/equities/rentokil-initial,stocks,London
6771,Rightmove PLC,RMV,united kingdom,/equities/rightmove,stocks,London
6597,Rio Tinto PLC,RIO,united kingdom,/equities/rio-tinto,stocks,London
6645,Rolls-Royce Holdings PLC,RR,united kingdom,/equities/rolls-royce,stocks,London
6593,Royal Dutch Shell PLC Class A,RDSa,united kingdom,/equities/royal-dutch-shell-a-shr?cid=6593,stocks,London
41343,Royal Mail PLC,RMG,united kingdom,/equities/royal-mail,stocks,London
6618,Sage Group PLC,SGE,united kingdom,/equities/sage-group,stocks,London
6706,J Sainsbury PLC,SBRY,united kingdom,/equities/sainsbury,stocks,London
6733,Schroders PLC,SDR,united kingdom,/equities/schroders,stocks,London
6760,Scottish Mortgage Investment Trust PLC,SMT,united kingdom,/equities/scottish-mortgage-inv-trust,stocks,London
6729,Segro Plc,SGRO,united kingdom,/equities/segro,stocks,London
6679,Severn Trent PLC,SVT,united kingdom,/equities/severn-trent,stocks,London
6787,DS Smith PLC,SMDS,united kingdom,/equities/ds-smith,stocks,London
6686,Smiths Group PLC,SMIN,united kingdom,/equities/smiths-group,stocks,London
6695,Smith & Nephew PLC,SN,united kingdom,/equities/smith-and-nephew,stocks,London
14117,Smurfit Kappa Group PLC,SKG,united kingdom,/equities/smurfit-kappa-group,stocks,London
6808,Spirax-Sarco Engineering PLC,SPX,united kingdom,/equities/spirax,stocks,London
6669,SSE PLC,SSE,united kingdom,/equities/scottish---southern-energy,stocks,London
6670,Standard Chartered PLC,STAN,united kingdom,/equities/standard-chartered,stocks,London
6683,St. Jamesâ€™s Place PLC,SJP,united kingdom,/equities/st-james,stocks,London
6800,Taylor Wimpey PLC,TW,united kingdom,/equities/taylor-wimpey,stocks,London
6581,Tesco PLC,TSCO,united kingdom,/equities/tesco,stocks,London
6661,Unilever PLC,ULVR,united kingdom,/equities/unilever-ord?cid=6661,stocks,London
6659,United Utilities Group PLC,UU,united kingdom,/equities/united-utilities,stocks,London
667,Vodafone Group PLC,VOD,united kingdom,/equities/vodafone,stocks,London
6674,Weir Group PLC,WEIR,united kingdom,/equities/weir-group,stocks,London
6646,Whitbread PLC,WTB,united kingdom,/equities/whitbread,stocks,London
6578,WPP PLC,WPP,united kingdom,/equities/wpp,stocks,London
6804,Renishaw PLC,RSW,united kingdom,/equities/renishaw,stocks,London
1165450,RSA Insurance Group PLC,RSA_p,united kingdom,/equities/rsa-insurance-group,stocks,London
6648,Pennon Group,PNN,united kingdom,/equities/pennon,stocks,London
6573,WM Morrison Supermarkets PLC,MRW,united kingdom,/equities/william-morrison,stocks,London
6827,HomeServe PLC,HSV,united kingdom,/equities/homeserve,stocks,London
6746,Carnival PLC,CCL,united kingdom,/equities/carnival-corporation,stocks,London
6574,Centrica PLC,CNA,united kingdom,/equities/centrica,stocks,London
6762,Meggitt PLC,MGGT,united kingdom,/equities/meggitt,stocks,London
288,EasyJet PLC,EZJ,united kingdom,/equities/easyjet,stocks,London
23214,Tui AG NA,TUIT,united kingdom,/equities/tui-n?cid=23214,stocks,London
6749,Hiscox Ltd,HSX,united kingdom,/equities/hiscox,stocks,London
32420,Direct Line Insurance Group PLC,DLGD,united kingdom,/equities/direct-line,stocks,London
6759,Micro Focus International PLC,MCRO,united kingdom,/equities/micro-focus,stocks,London
289,Marks and Spencer Group PLC,MKS,united kingdom,/equities/marks---spencer-group,stocks,London
6591,John Wood Group PLC,WG,united kingdom,/equities/john-wood-group,stocks,London
28413,Shires Income,SHRS,united kingdom,/equities/shires-income-plc,stocks,London
293,Old Mutual Ltd,OMU,united kingdom,/equities/old-mutual,stocks,London
44416,Mediclinic International PLC,MDCM,united kingdom,/equities/al-noor-hosp,stocks,London
6621,Hammerson PLC,HMSO,united kingdom,/equities/hammerson,stocks,London
6690,Babcock International Group PLC,BAB,united kingdom,/equities/babcock-international,stocks,London
992768,ConvaTec Group PLC,CTEC,united kingdom,/equities/convatec-group-plc,stocks,London
6707,Provident Financial PLC,PFG,united kingdom,/equities/provident-financial,stocks,London
14023,Dixons Carphone PLC,DC,united kingdom,/equities/carphone-warehouse-group,stocks,London
6681,Travis Perkins PLC,TPK,united kingdom,/equities/travis-perkins,stocks,London
6701,Aggreko,AGGK,united kingdom,/equities/aggreko,stocks,London
6627,Tullow Oil PLC,TLW,united kingdom,/equities/tullow-oil,stocks,London
6561,Petrofac Ltd,PFC,united kingdom,/equities/petrofac-ld,stocks,London
6716,IMI PLC,IMI,united kingdom,/equities/imi,stocks,London
6651,Tate & Lyle PLC,TATE,united kingdom,/equities/tate---lyle,stocks,London
